ORIG_FID,bike_lane,bike_trafd,frm_lvl_co,full_stree,l_blkfc_id,l_high_hn,l_low_hn,l_zip,date_modif,time_modif,physicalid,post_direc,post_modif,post_type,pre_direct,pre_modifi,pre_type,r_blkfc_id,r_high_hn,r_low_hn,r_zip,rw_type,shape_leng,snow_pri,st_label,st_name,st_width,status,to_lvl_co,trafdir,D_Angle,POINT_X,POINT_Y,SVI_ID
1,,,13,BATTERY PL,212262587,64,50,10280.0,3/17/2017,00:00.0,3,,,PL,,,,1222601917,63,51,10280.0,1,262.7778123,C,BATTERY PL,BATTERY,42,2,13,TW,28.17799664,-74.01767254,40.70670698,1
2,,,13,BATTERY PL,1222600642,82,66,10280.0,3/17/2017,00:00.0,5,,,PL,,,,1222604562,81,65,10280.0,1,259.4159885,C,BATTERY PL,BATTERY,42,2,13,TW,36.08779447,-74.01722458,40.70731976,2
3,,,13,BATTERY PL,1222600640,98,84,10280.0,3/17/2017,00:00.0,6,,,PL,,,,1222600933,101,83,10280.0,1,280.4447809,C,BATTERY PL,BATTERY,42,2,13,TW,36.38514765,-74.01676824,40.70794061,3
5,,,13,BATTERY PL,212262587,,,10004.0,4/15/2019,00:00.0,14,,,PL,,,,212262395,,,10004.0,1,206.2718504,C,BATTERY PL,BATTERY,24,2,13,TF,287.4095282,-74.01486453,40.70469122,4
6,,,13,W  THAMES ST,1222600637,398,300,10280.0,3/17/2017,00:00.0,23,,,ST,W,,,1222607193,399,301,10280.0,1,241.7366947,H,W THAMES ST,THAMES,38,2,13,TW,294.2296808,-74.0179395,40.70870112,5
7,,,13,W  THAMES ST,1222600639,298,200,10280.0,10/13/2017,00:00.0,24,,,ST,W,,,1222602788,299,201,10280.0,1,244.3789112,C,W THAMES ST,THAMES,60,2,13,TW,292.7293769,-74.01717351,40.70836338,6
9,,,13,1 PL,1222606410,,,10280.0,3/17/2017,00:00.0,29,,,PL,,,,1222601914,,,10280.0,1,293.1002729,C,1 PL,1,34,2,13,FT,291.8364376,-74.01754645,40.70602093,7
10,,,13,1 PL,0,,,10280.0,4/9/2019,00:00.0,30,,,PL,,,,0,,,10280.0,6,244.7100039,,1 PL,1,0,2,13,NV,293.807688,-74.01847393,40.70641458,8
22,,,13,BROAD ST,212261108,129,107,10004.0,10/14/2021,00:00.0,48,,,ST,,,,212261612,142,110,10004.0,1,439.1863418,C,BROAD ST,BROAD,46,2,13,TW,163.8880261,-74.01134087,40.70238832,9
22,,,13,BROAD ST,212261108,129,107,10004.0,10/14/2021,00:00.0,48,,,ST,,,,212261612,142,110,10004.0,1,439.1863418,C,BROAD ST,BROAD,46,2,13,TW,163.8880261,-74.01117607,40.7018178,10
26,,,13,BROAD ST,212260347,59,21,10004.0,7/18/2017,00:00.0,52,,,ST,,,,212261900,68,28,10004.0,1,497.9044921,H,BROAD ST,BROAD,30,2,13,TF,195.1622563,-74.01143567,40.70574204,11
26,,,13,BROAD ST,212260347,59,21,10004.0,7/18/2017,00:00.0,52,,,ST,,,,212261900,68,28,10004.0,1,497.9044921,H,BROAD ST,BROAD,30,2,13,TF,195.1622563,-74.01152045,40.70515427,12
27,,,13,BROAD ST,212260739,19,1,10005.0,7/18/2017,00:00.0,53,,,ST,,,,212261581,26,2,10005.0,1,336.7713181,H,BROAD ST,BROAD,42,2,13,TF,211.517266,-74.01098672,40.70661013,13
28,,,13,ALBANY ST,1222600092,398,300,10280.0,7/18/2017,00:00.0,56,,,ST,,,,1222601057,399,301,10280.0,1,364.8183108,H,ALBANY ST,ALBANY,44,2,13,TW,284.2683757,-74.01695695,40.71022473,14
28,,,13,ALBANY ST,1222600092,398,300,10280.0,7/18/2017,00:00.0,56,,,ST,,,,1222601057,399,301,10280.0,1,364.8183108,H,ALBANY ST,ALBANY,44,2,13,TW,284.2683757,-74.01753248,40.71037109,15
30,,,13,ALBANY ST,212260439,30,14,10006.0,6/21/2017,00:00.0,58,,,ST,,,,212260908,31,15,10006.0,1,266.6679907,H,ALBANY ST,ALBANY,26,2,13,TF,291.5961512,-74.01444114,40.70971631,16
31,,,13,ALBANY ST,212260384,12,2,10006.0,6/21/2017,00:00.0,59,,,ST,,,,212260906,13,1,10006.0,1,257.6819731,H,ALBANY ST,ALBANY,30,2,13,TF,293.48894,-74.01362651,40.70938367,17
32,,,13,MORRIS ST,212262448,21,11,10004.0,7/18/2017,00:00.0,60,,,ST,,,,212262449,20,12,10006.0,1,246.4918281,H,MORRIS ST,MORRIS,40,2,13,TW,284.4487767,-74.0156779,40.70660761,18
33,,,13,STATE ST,212260079,37,27,10004.0,4/15/2019,00:00.0,61,,,ST,,,,212261467,36,26,10004.0,1,350.4232248,C,STATE ST,STATE,50,2,13,TW,6.158579229,-74.014295,40.70418469,19
36,,,13,GREENWICH ST,212260254,92,70,10006.0,7/18/2017,00:00.0,66,,,ST,,,,212260930,89,67,10006.0,1,328.2749511,H,GREENWICH ST,GREENWICH,32,2,13,TF,23.27376238,-74.01372566,40.70765653,20
38,,,13,GREENWICH ST,212260982,112,94,10006.0,3/17/2017,00:00.0,68,,,ST,,,,212260693,111,91,10006.0,1,292.8553758,H,GREENWICH ST,GREENWICH,32,2,13,TF,23.33319248,-74.01335676,40.70851262,21
43,,,13,TRINITY PL,212261736,26,2,10006.0,8/24/2017,00:00.0,73,,,PL,,,,212260238,21,1,10006.0,1,287.0714416,C,TRINITY PL,TRINITY,30,2,13,FT,51.658144,-74.01383963,40.70655125,22
46,,,13,TRINITY PL,212260928,52,34,10006.0,1/8/2020,00:00.0,76,,,PL,,,,212260174,53,33,10006.0,1,254.3587029,H,TRINITY PL,TRINITY,42,2,13,FT,33.42845857,-74.01304601,40.70764206,23
47,,,13,TRINITY PL,212260695,94,54,10006.0,1/8/2020,00:00.0,77,,,PL,,,,212261238,95,55,10006.0,1,499.6270854,H,TRINITY PL,TRINITY,40,2,13,FT,33.75920801,-74.01263134,40.70826403,24
