ORIG_FID,bike_lane,bike_trafd,frm_lvl_co,full_stree,l_blkfc_id,l_high_hn,l_low_hn,l_zip,date_modif,time_modif,physicalid,post_direc,post_modif,post_type,pre_direct,pre_modifi,pre_type,r_blkfc_id,r_high_hn,r_low_hn,r_zip,rw_type,shape_leng,snow_pri,st_label,st_name,st_width,status,to_lvl_co,trafdir,D_Angle,POINT_X,POINT_Y,SVI_ID
1,,,13,BATTERY PL,212262587,64,50,10280.0,3/17/2017,00:00:00,3,,,PL,,,,1222601917,63,51,10280.0,1,262.7778123,C,BATTERY PL,BATTERY,42,2,13,TW,28.17799664,-74.01767254,40.70670698,1
2,,,13,BATTERY PL,1222600642,82,66,10280.0,3/17/2017,00:00:00,5,,,PL,,,,1222604562,81,65,10280.0,1,259.4159885,C,BATTERY PL,BATTERY,42,2,13,TW,36.08779447,-74.01722458,40.70731976,2
3,,,13,BATTERY PL,1222600640,98,84,10280.0,3/17/2017,00:00:00,6,,,PL,,,,1222600933,101,83,10280.0,1,280.4447809,C,BATTERY PL,BATTERY,42,2,13,TW,36.38514765,-74.01676824,40.70794061,3
5,,,13,BATTERY PL,212262587,,,10004.0,4/15/2019,00:00:00,14,,,PL,,,,212262395,,,10004.0,1,206.2718504,C,BATTERY PL,BATTERY,24,2,13,TF,287.4095282,-74.01486453,40.70469122,4
8750,,,13,BATTERY PL,212260001,3,1,10004.0,4/15/2019,00:00:00,127790,,,PL,,,,212260733,4,2,10004.0,1,224.582434,C,BATTERY PL,BATTERY,34,2,13,FT,287.4095282,-74.01479917,40.70478148,10757
11074,1.0,TW,13,BATTERY PARK GREENWAY,0,,,10004.0,4/19/2018,00:00:00,174071,,,,,,,0,,,10004.0,6,777.9608958,,BATTERY PARK GREENWAY,BATTERY PARK GREENWAY,0,2,13,NV,123.734455,-74.01522247,40.70457256,12791
7,,,13,W  THAMES ST,1222600639,298,200,10280.0,10/13/2017,00:00:00,24,,,ST,W,,,1222602788,299,201,10280.0,1,244.3789112,C,W THAMES ST,THAMES,60,2,13,TW,292.7293769,-74.01717351,40.70836338,6
32,,,13,MORRIS ST,212262448,21,11,10004.0,7/18/2017,00:00:00,60,,,ST,,,,212262449,20,12,10006.0,1,246.4918281,H,MORRIS ST,MORRIS,40,2,13,TW,284.4487767,-74.0156779,40.70660761,18
6486,,,13,HUGH L CAREY TUNNEL APPR,212260143,,,10006.0,9/1/2022,00:00:00,79272,,,APPR,,,,212261909,,,10006.0,1,292.9195535,V,HUGH L CAREY TUNNEL APPR,HUGH L CAREY TUNNEL,26,2,13,FT,170.7118247,-74.01484975,40.70643674,7690
6489,,,13,HUGH L CAREY TUNNEL APPR,212261003,,,10006.0,9/1/2022,00:00:00,79275,,,APPR,,,,212261799,,,10006.0,1,472.5345196,V,HUGH L CAREY TUNNEL APPR,HUGH L CAREY TUNNEL,30,2,13,FT,136.56198,-74.01495699,40.70650416,7692
11089,1.0,TW,13,BATTERY PARK GREENWAY,0,,,10004.0,4/22/2021,00:00:00,174093,,,,,,,0,,,10004.0,6,368.4286946,,BATTERY PARK GREENWAY,BATTERY PARK GREENWAY,0,2,13,NV,165.2256518,-74.01472433,40.70313997,12800
95,,,13,RECTOR ST,212260929,11,5,10006.0,7/18/2017,00:00:00,133,,,ST,,,,212260694,12,2,10006.0,1,189.0008606,H,RECTOR ST,RECTOR,18,2,13,TF,287.3499397,-74.01352817,40.70794741,55
7472,,,13,HUGH L CAREY TUNNEL EXIT,212260254,,,10006.0,4/15/2019,00:00:00,88988,,,EXIT,,,,212261735,,,10006.0,9,244.0053648,V,HUGH L CAREY TUNNEL EXIT,HUGH L CAREY TUNNEL,20,2,13,FT,38.21407246,-74.01429989,40.7066342,9177
46,,,13,TRINITY PL,212260928,52,34,10006.0,1/8/2020,00:00:00,76,,,PL,,,,212260174,53,33,10006.0,1,254.3587029,H,TRINITY PL,TRINITY,42,2,13,FT,33.42845857,-74.01304601,40.70764206,23
7657,,,13,CEDAR ST,212261241,106,90,10006.0,4/20/2017,00:00:00,91592,,,ST,,,,212261886,105,93,10006.0,1,354.0883226,H,CEDAR ST,CEDAR,20,2,13,FT,295.0320279,-74.01192252,40.70930009,9410
56,3.0,TF,13,PEARL ST,212262263,105,75,10004.0,4/19/2018,00:00:00,86,,,ST,,,,212261365,108,76,10004.0,1,390.8946402,C,PEARL ST,PEARL,20,2,13,TF,55.22542039,-74.00952054,40.7044821,31
57,3.0,TF,13,PEARL ST,212261395,0,0,10004.0,4/19/2018,00:00:00,87,,,ST,,,,212261511,124,110,10005.0,1,195.8623827,C,PEARL ST,PEARL,30,2,13,TF,58.89486787,-74.00894618,40.70483464,32
8371,,,13,PEARL ST,0,121,107,10004.0,2/5/2016,00:00:00,109550,,,ST,,,,0,0,0,10004.0,6,236.8532905,,PEARL ST,PEARL,0,2,13,NV,78.74229277,-74.00916397,40.70489118,10281
60,3.0,TF,13,PEARL ST,212261778,169,157,10005.0,4/19/2018,00:00:00,90,,,ST,,,,212261586,168,154,10005.0,1,229.7464614,C,PEARL ST,PEARL,18,2,13,TF,44.51563545,-74.00753227,40.70596963,34
8265,,,13,PINE ST,212261764,76,46,10005.0,3/17/2017,00:00:00,103201,,,ST,,,,212261775,75,47,10005.0,1,538.5344409,H,PINE ST,PINE,12,2,13,TF,119.756282,-74.00745853,40.70605472,10167
91,1.0,FT,13,WHITEHALL ST,212261131,63,39,10004.0,5/2/2022,00:00:00,128,,,ST,,,,212261400,64,34,10004.0,1,256.2281221,H,WHITEHALL ST,WHITEHALL,24,2,13,TF,166.0882957,-74.01285019,40.70252458,53
81,,,13,WATER ST,212261123,38,22,10004.0,4/19/2020,00:00:00,117,,,ST,,,,212261109,41,23,10004.0,1,380.630087,C,WATER ST,WATER,60,2,13,TW,76.08763839,-74.01035282,40.70324441,44
8181,,,13,COENTIES SLIP,212261366,8,2,10004.0,4/19/2020,00:00:00,101320,,,SLIP,,,,212261124,9,1,10004.0,6,194.4066854,,COENTIES SLIP,COENTIES,24,2,13,NV,132.8993388,-74.01020953,40.70329078,10071
79,,,13,WATER ST,212260826,20,6,10004.0,4/15/2019,00:00:00,115,,,ST,,,,212261613,21,7,10004.0,1,244.9974769,C,WATER ST,WATER,60,2,13,TW,71.33081439,-74.01175467,40.70289145,42
82,,,13,WATER ST,212261367,72,40,10004.0,4/19/2020,00:00:00,118,,,ST,,,,212261109,75,43,10041.0,1,445.6186235,C,WATER ST,WATER,58,2,13,TW,56.501901,-74.00920987,40.70393769,46
8738,3.0,TW,13,HANOVER SQ,212261508,18,4,10005.0,1/3/2019,00:00:00,124815,,,SQ,,,,212261368,15,7,10004.0,1,206.9476255,C,HANOVER SQ,HANOVER,44,2,13,TW,133.4858673,-74.00902437,40.70411858,10746
84,,,13,WATER ST,212261509,98,74,10005.0,4/15/2019,00:00:00,120,,,ST,,,,212261980,93,77,10005.0,1,248.9207187,C,WATER ST,WATER,60,2,13,TW,55.18379219,-74.00830165,40.70454996,47
619,,,13,GOUVERNEUR LN,212261979,29,19,10005.0,8/28/2020,00:00:00,764,,,LN,,,,212261817,30,20,10005.0,6,189.1693837,,GOUVERNEUR LN,GOUVERNEUR,12,2,13,NV,310.420972,-74.00812395,40.70466967,780
125,,,13,WALL ST,212261587,90,78,10005.0,6/21/2017,00:00:00,165,,,ST,,,,212261510,93,75,10005.0,1,203.3197044,C,WALL ST,WALL,28,2,13,FT,123.1557085,-74.00745145,40.7052214,86
86,,,13,WATER ST,212261584,132,118,10005.0,4/15/2019,00:00:00,122,,,ST,,,,212261037,133,119,10005.0,1,236.6657807,C,WATER ST,WATER,60,2,13,TW,54.85599622,-74.0069066,40.70552453,49
8266,,,13,PINE ST,212261392,84,78,10005.0,8/24/2017,00:00:00,103202,,,ST,,,,212261585,89,77,10005.0,1,245.9132969,C,PINE ST,PINE,12,2,13,TF,121.8955645,-74.00694799,40.70573732,10168
89,,,13,WATER ST,212260938,180,160,10038.0,4/15/2019,00:00:00,125,,,ST,,,,212260227,179,161,10038.0,1,258.2414047,C,WATER ST,WATER,60,2,13,TW,55.25637069,-74.0052027,40.7067135,51
6653,,,13,JOHN ST,212260486,139,123,10038.0,8/24/2017,00:00:00,79749,,,ST,,,,212260939,142,126,10038.0,1,236.0297272,S,JOHN ST,JOHN,40,2,13,TW,138.1047488,-74.0050857,40.70694553,7864
52,3.0,TF,13,PEARL ST,212260764,23,1,10004.0,4/19/2018,00:00:00,82,,,ST,,,,212261401,24,2,10004.0,1,397.4826599,C,PEARL ST,PEARL,18,2,13,TF,92.04497724,-74.0132429,40.70310827,27
