ID,Tree Canopy Percentage,Grass/Shrubs Percentage,Bare Soil Percentage,Water Percentage,Buildings Percentage,Roads Percentage,Other Impervious Percentage,Railroads Percentage
1,20.92183184,0.072061419,0,0,10.7851923,35.74061585,10.56900805,0
2,15.93943145,0.850879057,0,0,11.03001635,41.65796694,8.597481546,0
3,0.155209209,0,0,0,17.27903475,30.16047524,30.49029481,0
4,0.073909147,0.015705694,0,0,26.10286306,29.3428553,22.55152853,0
5,1.259227095,0.010162508,0,0,31.61925703,23.40240759,21.7985791,0
6,0.372317329,0,0,0,14.23674948,29.1044983,34.35943866,0
7,1.104017886,0,0,0,8.08104138,26.52599292,42.37303794,0
8,0.378784379,0,0,0,12.99877126,23.35621437,41.34847239,0
9,7.71703883,0.725233507,0,0,16.19164642,33.43649818,20.01367319,0
10,7.593241008,1.781210447,0,0,12.55069706,34.1977624,21.96395081,0
11,0,0.001847729,0,0,29.39828716,32.32231779,16.35886586,0
12,3.028427306,0,0,0,17.38989847,33.58339261,24.07498083,0
13,0.19585924,0.024020473,0,0,12.28739572,44.81665912,20.76200331,0
14,4.682693193,0.512112001,0,0,30.9929078,20.66777194,20.99198674,0
15,4.722298978,0.196186792,0,0,22.84793221,29.36814958,20.71474625,0
16,0.12564555,1.703605843,0,0,42.10696501,17.53494517,16.61292856,0
17,4.833747812,0.092106475,0,0,0.994749931,42.57621811,29.35064935,0
18,0,0,0,0,3.713010781,52.72586173,21.64521762,0
19,17.33631434,0.533993588,0,0,6.837519979,36.62475402,16.75335594,0
20,0.837021092,0.078528469,0,0,6.08641827,49.42674218,21.65260853,0
21,1.445847692,0.331667298,0,0,11.7127521,40.29249545,24.2856219,0
22,10.56900805,0.298408182,0,0,12.43151856,28.08639979,26.70060328,0
23,1.359004444,0.152437616,0,0,10.81567983,48.91122588,16.85036169,0
24,3.154072856,0.004619322,0,0,11.40787687,45.74699051,17.76683512,0
25,0.278083166,0.07668074,0,0,4.914034423,51.07861162,21.73206086,0
26,0,0.550623146,0,0,38.39764969,18.73042562,20.41463032,0
27,1.759037703,0.169991039,0,0,26.12688353,29.20058019,20.80080561,0
28,1.27567468,0.196186792,0,0,5.803628995,48.9260385,21.64778484,0
29,4.235055724,1.222252924,0,0,5.445334807,30.20079212,36.75324675,0
30,0,0.210002763,0,0,42.34318873,16.06060606,19.23827945,0
31,10.93393446,1.015326909,0,0,10.77318207,26.88537615,28.47349895,0
32,24.08421947,10.11723838,0,0,0,38.07429717,5.780619174,0
33,14.64971684,3.361018468,0,0,0,46.07219076,13.99931634,0
34,8.382221155,0.723385778,0,0,4.86229802,51.22088672,12.89252686,0
35,17.57852077,0.082895828,0,0,0,46.15547573,14.03518467,0
36,5.224452841,0.237433135,0,0,7.360427195,50.40788611,14.85389085,0
37,8.445967794,0.008314779,0,0,1.479106808,46.84454135,21.28121507,0
38,16.05121904,0.2512911,0,0,5.854528321,43.40868987,12.51189475,0
39,7.263516625,13.35820208,0,0,3.194252556,46.42718983,7.611679101,0
40,17.54075712,13.79847103,0,0,0,43.22096343,3.290964355,0
41,12.6756931,3.710048816,0,0,0,46.08639587,15.37993921,0
42,9.588787982,3.052447779,0,0,0,52.03296348,13.41266248,0
43,4.053916723,0.045269353,0,0,18.52625161,38.76811929,16.69145703,0
44,0,0.008314779,0,0,18.09573082,41.18864386,18.79140067,0
45,10.74514138,0.224739799,0,0,13.51570415,33.48530902,19.87565626,0
46,7.608022838,0.289169538,0,0,13.41173862,40.84681405,15.92926895,0
47,6.2203786,0.007390915,0,0,16.28588058,38.76627156,16.79677756,0
48,8.89219427,1.069834905,0,0,18.26756959,37.76572648,12.07675465,0
49,17.70031689,2.336452915,0,0,15.56988572,31.3531841,11.12425052,0
50,14.26354154,0.686431204,0,0,23.70728282,26.19155403,13.23528053,0
51,0.441607154,0,0,0,11.49194852,32.00450846,34.146026,0
52,0.51089698,0,0,0,13.91154923,36.33466062,27.32236398,0
53,0.184772868,0.010162508,0,0,15.74726767,34.62366386,27.52007095,0
54,9.748616513,0.961742778,0,0,9.063109173,41.85382618,16.44755684,0
55,0,2.065760664,0,0,16.8993265,40.19087037,18.93367578,0
56,0,1.277704382,0,0,20.02475956,36.38362543,20.3813712,0
57,0,1.530843211,0,0,15.36201624,41.65519535,19.53973079,0
58,0.030487523,0.656867546,0,0,14.44923827,39.23836624,23.70728282,0
59,10.90159921,1.23890208,0,0,21.87895529,24.86765643,19.19974871,0
60,0.509973116,0.018477287,0,0,5.781543038,51.27724245,20.49593038,0
61,15.10425809,0.610674329,0,0,7.774318419,37.45346033,17.13675964,0
62,14.78367716,0.210641069,0,0,4.868765071,40.37749097,17.84074427,0
63,13.66302972,0.441607154,0,0,26.71261352,22.38246136,14.8889977,0
64,0.064670504,0,0,0,13.16321911,40.37379551,24.48055727,0
65,2.184939164,0.010162508,0,0,8.230707403,48.56570061,19.07872248,0
66,0,0.09118541,0,0,2.712535691,53.75610205,21.29317491,0
67,2.999787511,0,0,0,5.610628135,49.20039541,20.27882226,0
68,0,0,0,0,0,59.3850759,18.70178583,0
69,2.907401077,0.024944337,0,0,0.840716549,57.78586672,16.50114097,0
70,0,0.02124888,0,0,14.56379745,45.54928354,17.95253185,0
71,0,1.675889912,0,0,13.19740209,47.54483052,15.66319602,0
72,0.514592437,1.010707588,0,0,4.781921823,54.31398453,17.45918829,0
73,0,0.55986179,0,0,10.16158387,50.91693536,16.44108979,0
74,0,1.44122837,0,0,9.585092525,51.51190399,15.54586525,0
75,0.041447914,0.071843051,0,0,18.65340333,38.67827208,20.40895275,0
76,7.555362571,0.014781829,0,0,8.84322946,47.94024445,13.73324341,0
77,3.077392116,0.015705694,0,0,19.3503386,37.46085125,18.17610702,0
78,3.620624348,0.158904666,0,0,29.41676444,26.28671206,18.60108462,0
79,5.373195,2.358625659,0,0,0.58757772,57.72396781,12.04534326,0
80,27.98847017,1.218577064,0,0,15.51722545,23.45506786,9.908445044,0
81,13.48564777,1.396882882,0,0,17.549727,31.46220009,14.19055626,0
82,6.830129064,0.345525263,0,0,11.11224028,38.84572389,20.95509095,0
83,1.79044909,0.127493279,0,0,11.50303489,47.79704548,16.86606739,0
84,0,0.024944337,0,0,43.6073207,17.89802385,16.54086714,0
85,10.29105646,1.58975776,0,0,22.66095607,29.8249977,13.47978263,0
86,24.47686182,0.751101708,0,0,29.08417328,13.66395359,10.09783723,0
87,0.340905941,0.011086372,0,0,36.16374572,22.99775501,18.57152096,0
88,18.14100018,0.212488798,0,0,17.96361822,27.99308949,13.7775889,0
89,0,0.873051801,0,0,10.90067534,45.17234689,21.11861494,0
90,9.671935773,0.959895049,0,0,2.669967942,42.64834952,22.13763731,0
91,0,0.808381297,0,0,8.348038174,48.81791558,20.10790735,0
92,0,0,0,0,6.278582053,47.405327,24.40295267,0
93,0,0.074833012,0,0,6.455964006,45.607487,25.9282527,0
94,0.102548942,0.703984627,0,0,24.4953391,30.68800177,22.09606341,0
95,10.57824669,0.254986558,0,0,14.23213015,21.38191628,31.63496272,0
96,6.076264161,1.785944552,0,0,9.22446348,29.47038777,31.29778023,0
97,3.265860441,0.095158027,0,0,9.534279986,40.27124657,24.91200192,0
98,0,0,0,0,18.05970011,0,60.03178093,0
99,2.688445229,0.095158027,0,0,32.184662,25.00993154,18.10866492,0
100,24.38447538,0.182925139,0,0,12.83247568,29.32622574,11.35798819,0
101,14.59428498,0.935874576,0,0,26.58973956,19.04638723,16.92334698,0
102,12.62275847,1.249988452,0,0,14.09909369,33.87810534,16.20827598,0
103,6.25456158,0.180153546,0,0,9.453903789,45.93730657,16.26093624,0
104,0.144122837,0.377860515,0,0,25.34621816,28.38388411,23.83569997,0
105,0,1.51790911,0,0,12.61629142,46.43434558,17.52016334,0
106,7.009358746,0,0,0,9.825297253,44.47944864,16.75058434,0
107,8.014523147,0.020325015,0,0,16.90302196,35.37568943,17.7622158,0
108,8.318474515,0.044345488,0,0,4.770835451,55.40506832,9.539823172,0
109,2.330909729,0.205097883,0,0,19.49446143,37.35091139,18.70270969,0
110,16.9279663,0.975600743,0,0,21.96857014,27.55794939,10.65769902,0
111,18.67961309,0.30025591,0,0,8.091203888,35.71289992,15.3010412,0
112,38.97968422,0.253138829,0,0,9.728291498,22.1404089,6.970556443,0
113,26.72000443,1.752570653,0,0,37.54954223,5.351022256,6.693397142,0
114,1.17515544,0.047117081,0,0,17.0314391,42.07740135,17.73265214,0
115,0.598664092,0.074833012,0,0,7.326244214,47.17158932,22.91183563,0
116,0.246671779,0,0,0,0,53.8252603,23.98536599,0
117,0,0,0,0,4.135216785,55.32099666,18.63157214,0
118,5.001801535,0,0,0,5.311296089,50.78667049,16.98339816,0
119,3.856209754,0,0,0,7.577535315,50.48918617,16.16577822,0
120,0.844616377,0,0,0,6.204292162,52.33582021,18.46458506,0
121,0,2.618587087,0,0,37.22483191,25.03085567,12.97227595,0
122,4.286730536,0.68550734,0,0,19.02606221,34.31601704,19.76515368,0
123,0,0.986687115,0,0,8.658456592,45.18066167,23.26382794,0
124,4.156465665,0.935874576,0,0,16.15653957,40.69899576,16.14360547,0
125,7.391838582,0.095158027,0,0,13.34337266,40.28048521,16.97323565,0
126,6.341404828,0.280854759,0,0,12.27169003,41.1073438,18.08464445,0
127,24.60989828,0.801914247,0,0,0.576491348,45.67770069,6.415313975,0
128,6.613944808,0.350144585,0,0,7.596012602,47.96056947,15.56803799,0
129,2.123040253,0.381555972,0,0,1.155754289,56.63380789,17.76868285,0
130,1.501279552,0,0,0,7.917517392,49.18930904,19.47506028,0
131,0,0.050658561,0,0,9.056829695,51.55936262,17.18246293,0
132,4.25347142,0.071137554,0,0,7.822359365,48.81422012,17.1247494,0
133,8.899585185,0.07668074,0,0,7.459280679,45.92252474,15.72879038,0
134,3.619700483,2.231132381,0,0,16.05399063,27.29187646,28.86798902,0
135,0.095158027,0.405576445,0,0,6.857844994,52.05606009,18.67037444,0
136,3.943976866,0.135808058,0,0,3.257545662,48.92138838,21.82814276,0
137,4.275644164,1.328516921,0,0,3.396125313,49.78427768,19.2958306,0
138,3.6658937,0.572795891,0,0,3.379495755,51.63570181,18.81172569,0
139,0.522243714,0.219213411,0,0,6.930091185,50.81606337,19.36078106,0
140,1.848652544,0,0,0,0.534917453,51.2449072,24.4565368,0
141,3.486664018,0.221727442,0,0,11.41803938,44.39352925,18.56597777,0
142,0,0.652248224,0,0,8.341571124,49.76949585,19.32816585,0
143,6.320155948,0.080376198,0,0,1.502203416,46.16550106,24.01677738,0
144,4.898328729,0.131188736,0,0,15.27517299,35.88381482,21.89743258,0
145,2.632089504,1.999242431,0,0,9.618351641,46.86486636,16.94274813,0
146,13.95404699,0.414815089,0,0,11.54922811,26.10471078,26.05389825,0
147,0.600534218,2.366215345,0,0,21.66896933,38.4139265,14.79966842,0
148,0.238357,1.567797785,0,0,12.91008028,45.69248252,17.67906801,0
149,1.961867919,1.856866538,0,0,16.19047619,41.3613337,16.48245372,0
150,5.804639647,1.943810571,0,0,24.88336213,31.59616042,13.86166055,0
151,16.50087501,0.700930275,0,0,26.24205582,19.47130883,14.93414387,0
152,25.21783181,0.599613153,0,0,26.7154831,13.76623377,11.56028369,0
153,4.787465009,0.165371717,0,0,9.808667695,46.39184782,16.93628108,0
154,4.181410002,0.206021748,0,0,11.55292357,47.11800519,15.02388189,0
155,6.394065095,0.862889293,0,0,38.66002716,16.67020815,15.49874816,0
156,8.006208368,0.511820844,0,0,34.13401576,19.58038082,15.8294916,0
157,14.1351244,0.720614185,0,0,15.40081854,31.4464944,16.37641929,0
158,7.236629373,0.023096608,0,0,11.69612254,40.76181853,18.36642307,0
159,0,0.214336527,0,0,10.79258322,48.41233913,18.66390739,0
160,5.357489306,1.305420312,0,0,28.53077854,24.35214013,18.51701296,0
161,0,0.971723312,0,0,10.37211016,44.00755273,22.49700654,0
162,7.742907032,0.929407526,0,0,14.15267782,38.76349997,16.49836938,0
163,11.49749171,0.185696732,0,0,17.31044613,33.50671187,15.58928687,0
164,16.48173982,0.004619322,0,0,8.972570468,28.11596345,24.50642548,0
165,0,0.943265491,0,0,29.31698709,16.99078907,30.83304848,0
166,0,1.279552111,0,0,11.45868941,42.87007696,22.47484779,0
167,9.778180172,0.358459364,0,0,19.30784084,35.62975213,12.9950758,0
168,23.38675509,1.517914709,0,0,2.64253477,32.660035,17.64760063,0
169,12.0014737,0.581191858,0,0,19.69144331,35.68481164,9.897761813,0
170,1.541862393,0.828958276,0,0,22.88569586,34.79782629,17.79497099,0
171,20.11622213,0.377860515,0,0,4.390203343,39.68828817,13.5133637,0
172,0.737243743,0.899843867,0,0,7.652368326,50.83101597,17.96546595,0
173,6.030210924,0.29658285,0,0,8.081422124,46.52113844,16.91903841,0
174,3.652035735,0.155209209,0,0,7.36781811,47.39516449,19.50370008,0
