ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,sofa
1,28.17799664,-74.01767254,40.70670698,1,0.34709,0.021156,0.171367,0.351742,0.006824,0.003551,0.09377,0.004219,0.000281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36.08779447,-74.01722458,40.70731976,2,0.360715,0.020207,0.139648,0.365035,0.014016,0.003258,0.063336,0.027258,0.000711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000941,0.0,0.0,0.0,0.0,0.0,0.0,0.001406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,36.38514765,-74.01676824,40.70794061,3,0.367461,0.0,0.156195,0.305043,0.005984,0.0,0.152305,0.0,0.002035,0.0,0.0,0.0,0.0,0.006969,0.002668,0.0,0.000652,0.000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,287.4095282,-74.01486453,40.70469122,4,0.173125,0.160523,0.197578,0.350145,0.02491,0.002641,0.054949,0.0,0.000848,6.2e-05,0.00118,0.0,0.0,0.018406,0.0,0.0,0.0,0.001559,0.0,0.0,0.0,0.0,0.0,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,292.7293769,-74.01717351,40.70836338,6,0.255102,0.049953,0.240723,0.348492,0.05598,0.001277,0.025473,0.0,0.001156,0.0,0.0,0.0,0.0,0.0,0.002777,0.000121,0.0,0.0,0.0,0.0,0.0,0.003434,0.0,0.014469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,163.8880261,-74.01117607,40.7018178,10,0.233203,0.367035,0.0,0.242035,0.031402,0.0,0.01223,0.0,0.000906,0.077,0.004934,0.02068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,195.1622563,-74.01152045,40.70515427,12,0.007891,0.0,0.0,0.001148,0.011266,0.003152,0.011281,0.0,0.0,0.508641,0.0,0.0,0.0,0.007133,0.0,0.0,0.0,0.010863,0.0,0.0,0.0,0.0,0.18234,0.0,0.0,0.0,0.003918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,284.4487767,-74.0156779,40.70660761,18,0.329449,0.062203,0.130793,0.359547,0.056855,0.0,0.034191,0.0,0.005828,0.0,0.000133,0.002527,0.0,0.000285,0.001281,0.0,0.009777,0.002598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,33.42845857,-74.01304601,40.70764206,23,0.453516,0.020793,0.073387,0.24518,0.004023,0.0,0.130734,0.0,0.0,0.026109,0.010848,0.0,0.007609,0.000469,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,92.04497724,-74.0132429,40.70310827,27,0.432086,0.012219,0.06873,0.23023,0.041367,0.0,0.149086,0.0,5.9e-05,0.034902,0.0,0.0,0.0,0.004844,0.0,0.0,0.003293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
