ID,Tree Canopy Percentage,Grass/Shrubs Percentage,Bare Soil Percentage,Water Percentage,Buildings Percentage,Roads Percentage,Other Impervious Percentage,Railroads Percentage,accidents,injury,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,person_number,car_number,bus_number,truck_number,motorcycle_number,traffic light,fire hydrant,bicycle_number,bench_number,dining table,stop sign,dog
7439,59.40867643,2.158975776,0,0,0,9.941051856,6.345215069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7438,40.54066501,13.00727641,0,0,0,0,24.30321452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7437,64.12265223,1.457857928,0,0,1.312811227,3.568887944,7.620033074,0,0,0,0,0.03357,0.854688,0,0,0,0,0,0,1.20E-05,0,0.000117,0,0,0,0.051691,0,0.013559,0,0,0,0,0,0,0,0.000414,0,0,0.040543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7436,20.59755545,51.22458218,0,0,0,0.898920003,5.36672795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7435,51.43984257,11.19631193,0,0,0,8.492161011,6.95485075,0,0,0,0,0.057227,0.481555,0.29209,0.018043,0,0.003078,0,0.000574,0.102906,3.50E-05,0,0,0.007805,0,0.017918,0.015699,0.002914,0,0,0.000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0
7434,0,0,0,0,0,51.81770309,26.26269159,0,0,0,0.31359,0.148328,0.052137,0.314305,0,0,0.023617,0.022629,0,3.10E-05,0.032148,0.011543,0,0,0,0.013898,0,0,0,0,0,0,0,0,0,0,0,0.06777,0,0,0,0,0,0,0,1,32,0,2,0,0,0,0,0,0,0,0
7433,45.52618693,3.728716475,0,0,0,13.45054092,15.36848329,0,0,0,1.20E-05,0.053344,0.48216,0.245648,0,0.004082,0.000418,0,0,0,0.005688,0,0,0,0,0.018582,0,0,0,0,0.170211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,2,0,0,0,4,0,0,0
7432,0,2.038968598,0,0,29.60061345,33.77463253,12.66156078,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7431,32.40177012,6.227769514,0,0,0,15.32968099,24.13133655,0,0,0,0.464148,0.051973,0.06848,0.028469,0.007277,0,0.112609,0,0,0,0.225156,0,0,0,0,0.032098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,2,0,0,0,0,0,0,0
7430,36.79566892,10.44890568,0,0,0,21.18605704,9.656230079,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7429,65.93712179,4.569433024,0,0,0,5.831431713,1.743332009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7428,16.68776157,5.574597426,0,0,0.032335252,53.60353286,2.189558485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7427,6.308145712,2.097172051,0,0,0,66.94967711,2.702303194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7426,2.880609011,0.925712068,0,0,0,70.5278037,3.753660812,0,1,0,0.027715,0,0,0.140258,0,0,0.051149,0,0,0.362049,0,0,0,0.005467,0,0,0.000129,0,0,0,0,0,0.28069,0,0.018063,0,0.008395,0.000106,0,0,0,0,0,0,0,0,8.5,0,1,0,0,0,0,0,0,0,0
7425,46.67824577,6.679539176,6.251789987,0,0,14.32913591,4.150922479,0,0,0,0,0.01806,0.378987,0.009594,0,0,0,0,0,0.065486,0.04001,0,0,0,0,0.008419,0,0.030706,0,0,0.022939,0,0.167548,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333,0,0,0,0,0,0,0.666667,0,0,0
7424,64.00254987,7.159024769,0,0,0,5.294666531,1.623229645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7423,33.38383792,1.305420312,0,0,0,33.71365749,9.684869874,0,0,0,0,0.14473,0.372402,0.413555,0.01623,0.006805,0.006664,0,0.005461,0,0.001168,0.007508,0,0,0,0.000242,0,0.002387,0,0,0.018105,0.002773,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,5,2,0,0,0
7422,5.739969143,0.461008306,0,0.584806127,0,33.34226402,9.89273935,0,0,0,0.141143,0.22734,0.100602,0.294234,0.000475,0,0.0015,0,0,0.05962,0.006549,0.044572,0,0,0,0.047435,0,0,0,0,0.001245,0,0,0,0,1.20E-05,0,0.074403,0.000201,0,0,0,0,0,0,0.333333,1.333333,0,0,0,0,0,0,0,0,0.666667,0
7421,12.65174542,0.667771944,0,0.479874735,0,40.48355899,11.78778668,0,0,0,0.153754,0.315035,0.092125,0.28834,0.001426,0,0,0,0,0.126617,0,0.016961,0,0,0,0.003566,0,0,0,0,0,0,0,0,0,0,0,0.002176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7420,18.49114476,9.499173141,0,0,0,23.53544406,26.55278499,0,0,0,0.185656,0.136258,0.205902,0.22591,0.062551,0.024582,0.057344,0,0.000438,0.024414,0.007707,0.038008,0,0,0,1.20E-05,0,0.028156,0,0,9.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,1,0,1,2,0,0,0,0,0
7419,31.30421929,9.070500088,0,0,0,17.52016334,20.18643582,0,0,0,0.185656,0.136258,0.205902,0.22591,0.062551,0.024582,0.057344,0,0.000438,0.024414,0.007707,0.038008,0,0,0,1.20E-05,0,0.028156,0,0,9.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,1,0,1,2,0,0,0,0,0
7418,5.294280188,0.319609469,0,0,0.791194621,36.8407479,34.60440269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7417,1.554863684,2.432534807,0,0,5.921970418,8.833066952,27.38333903,31.93244704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7416,2.781755527,0.053584132,0,0,0.912777968,71.83691947,2.499976903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7415,31.81788786,2.338300644,0,0,0,25.36561931,18.57059709,0,0,0,0.243586,0.151554,0.120916,0.290495,0.00461,0.000384,0.074081,0.004639,0.001385,0.024905,0.00117,0.022707,0,0,0,0.00377,0,0,0,0,0,0,0.028682,0,0,0,0.014518,0.012201,0,0,0,0,0,0,0,3,14,0,0.5,0.5,0,0.5,0,0,0,0,0
7414,8.485693961,0.108092128,0,0,55.96585397,4.787465009,8.735137332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7413,27.39904472,0.163523988,0,0,0,39.50905849,11.01431066,0,0,0,0.150098,0.080066,0.311797,0.194688,0.022422,0,0,0,0.00034,0.078926,0,0.081078,0,0,0,0.004137,0,0.076102,0,0,0.000348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
7412,40.15013355,4.535322833,0,0,0,31.31528046,1.84949802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7411,1.544701176,2.562799678,0,0.334438891,0,25.07737364,26.51213496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7410,3.251358571,0.322372663,0,0,0.374873354,58.3798471,15.52454638,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7409,0.326124112,0.230042221,0,0,10.75747637,52.87090844,13.89861513,0,1,0,0.038645,0.458051,0.000336,0.293133,0.000539,0,0,0,0,0.206949,0,0,0,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7408,0.993154165,1.205642963,0,0,1.016250774,58.71065493,16.16300662,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7407,0,0.014781829,0,0,33.94092811,6.980718951,16.32560675,20.82482608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
