ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID
"2",36.08779447,-74.01722458,40.70731976,"2"
"3",36.38514765,-74.01676824,40.70794061,"3"
"95",287.3499397,-74.01352817,40.70794741,"55"
"46",33.42845857,-74.01304601,40.70764206,"23"
"7657",295.0320279,-74.01192252,40.70930009,"9410"
"57",58.89486787,-74.00894618,40.70483464,"32"
"8371",78.74229277,-74.00916397,40.70489118,"10281"
"79",71.33081439,-74.01175467,40.70289145,"42"
"84",55.18379219,-74.00830165,40.70454996,"47"
"619",310.420972,-74.00812395,40.70466967,"780"
"52",92.04497724,-74.0132429,40.70310827,"27"
"110",38.16138914,-74.00846504,40.71426287,"71"
"118",37.60579766,-74.00448249,40.71932348,"79"
"120",38.1753421,-74.00355055,40.72050715,"81"
"123",117.9788156,-74.00897835,40.70610031,"84"
"125",123.1557085,-74.00745145,40.7052214,"86"
"126",126.0601468,-74.00691212,40.70483313,"87"
"263",26.63567788,-73.98373557,40.78605703,"282"
"148",36.05344394,-73.99722525,40.76596951,"135"
"156",35.81188621,-74.00281653,40.75972281,"143"
"244",36.17250141,-74.00304177,40.75979583,"242"
"1407",294.8074859,-74.00276309,40.75964933,"1750"
"9275",36.0086428,-74.00313057,40.75988601,"11394"
"230",10.73527454,-74.00878278,40.74296762,"225"
"178",2.800651911,-74.0098147,40.73756067,"170"
"184",5.57034312,-74.01017944,40.7329919,"174"
"200",20.76513325,-74.01351361,40.71423358,"185"
"6542",293.7728179,-74.01341428,40.71441954,"7734"
"201",19.74007289,-74.01378157,40.71434999,"186"
"194",11.49115339,-74.01151186,40.72289197,"179"
"220",12.29393124,-74.01171555,40.7229144,"207"
"9227",11.45335045,-74.01186816,40.72293075,"11338"
"251",35.69953864,-73.99743749,40.76605823,"250"
"9281",36.30449396,-73.99756886,40.76611237,"11396"
"315",10.2458266,-74.01023593,40.72409825,"506"
"457",275.7573296,-74.0100166,40.72414845,"624"
"321",11.13193579,-74.00923497,40.72957023,"514"
"712",275.5287365,-74.00899124,40.72968548,"885"
"330",4.544816699,-74.00820615,40.73755216,"521"
"438",123.0157829,-74.00957206,40.72472078,"606"
"523",305.4784244,-74.00912739,40.72456598,"678"
"351",15.11368595,-74.00843789,40.72948858,"538"
"711",275.3352227,-74.00815553,40.72960543,"884"
"358",14.41604198,-74.0071963,40.73416315,"543"
"7656",303.7474463,-74.01081647,40.70877756,"9408"
"382",40.43278365,-74.00960225,40.71025769,"557"
"392",40.40618878,-74.0045912,40.71621213,"566"
"6720",114.8857519,-74.0046329,40.71632602,"7935"
"396",40.16698806,-74.00266229,40.71847961,"568"
"758",114.6024916,-74.00275234,40.71872503,"927"
"409",40.13929639,-73.99287881,40.73003382,"583"
"410",40.21478886,-73.99245734,40.73053243,"584"
"415",12.45636157,-73.99098546,40.73379379,"589"
"6889",112.7833533,-73.99117097,40.73407267,"8279"
"433",37.69518987,-74.00668885,40.71873893,"605"
"764",294.8761364,-74.00640119,40.71877296,"934"
"490",9.21254544,-74.00699514,40.72935844,"643"
"710",271.5193364,-74.00692372,40.72949006,"882"
"512",275.6145365,-74.00816159,40.72582186,"662"
"1016",275.4098965,-74.00814854,40.72589622,"1171"
"527",305.479311,-74.00836081,40.7240834,"679"
"440",125.8681909,-74.00885929,40.72422238,"608"
"441",128.211056,-74.00809114,40.72363703,"609"
"529",306.2678047,-74.00626781,40.72252596,"683"
"593",9.640206105,-74.00632512,40.72239078,"742"
"531",303.407982,-74.00513089,40.7216806,"684"
"847",355.2083442,-74.00529793,40.72161653,"1001"
"535",305.6855229,-74.00308236,40.72024984,"686"
"538",305.6624231,-74.00043869,40.71836331,"689"
"6680",42.47407323,-74.00058718,40.71836991,"7893"
"541",289.0639827,-73.99832414,40.71700789,"692"
"3706",31.74451117,-73.99869554,40.71692772,"4344"
"542",289.3357073,-73.9975441,40.71673717,"693"
"6789",31.67228418,-73.99786796,40.71664358,"8049"
"546",286.7762344,-73.99316773,40.71528451,"697"
"5996",27.32002514,-73.99340523,40.71534604,"7205"
"5711",28.8170817,-73.99261506,40.7150842,"6913"
"5729",15.2493682,-73.99243023,40.71494894,"6934"
"549",286.9021019,-73.99170101,40.71484128,"698"
"222",10.94472703,-74.01115195,40.72577003,"210"
"559",270.2548299,-74.00381354,40.73813838,"709"
"1038",359.1958529,-74.00387407,40.73813784,"1195"
"354",15.55514298,-74.0078475,40.73163917,"541"
"561",275.5181887,-74.00780626,40.73178359,"712"
"325",6.004131947,-74.00857123,40.73323371,"518"
"575",261.2069124,-74.00851787,40.73340644,"723"
"580",261.7600633,-74.00114804,40.73451768,"728"
"6754",343.9513824,-74.00136893,40.73441379,"7989"
"7668",54.88800893,-74.00678678,40.71148842,"9426"
"472",10.00084449,-74.00859624,40.7198809,"631"
"586",275.6117765,-74.00858144,40.71995171,"733"
"339",9.500368861,-74.01019552,40.72003668,"529"
"587",275.4894122,-74.00653078,40.71975081,"734"
"592",11.11777074,-74.00682183,40.71970936,"741"
"602",8.876377271,-74.00533546,40.72846511,"750"
"6700",251.3829478,-74.00508096,40.72947773,"7912"
"605",126.1750356,-74.00697925,40.70686878,"751"
"618",310.5352341,-74.00749845,40.70413633,"779"
"640",54.16432879,-74.00784358,40.7041606,"794"
"66",69.30061302,-74.00437123,40.70780738,"36"
"608",125.2152479,-74.00553523,40.70579992,"754"
"636",54.9486388,-74.00572664,40.70564782,"791"
"642",127.7992558,-74.00522143,40.7060111,"796"
"495",8.5366709,-74.0064132,40.73301314,"648"
"651",261.3039495,-74.00094381,40.733883,"806"
"498",9.254856718,-74.00608629,40.73502525,"651"
"659",261.165686,-74.00130851,40.73583525,"814"
"610",140.2393963,-74.00813308,40.70813162,"757"
"476",9.899803682,-74.00812996,40.72255149,"635"
"688",275.3359649,-74.0079404,40.72261024,"852"
"343",9.952484834,-74.00966752,40.72270638,"533"
"337",9.451737483,-74.01046378,40.72278744,"527"
"690",275.345582,-74.01024506,40.72283992,"855"
"695",269.8364547,-74.00628089,40.73755018,"860"
"698",270.2946965,-74.00542343,40.73755052,"863"
"494",9.21424266,-74.00652898,40.73225556,"647"
"703",94.33001526,-74.0059092,40.73238104,"875"
"724",36.28316218,-73.99978678,40.75878515,"897"
"1471",293.1810337,-73.99950075,40.7588425,"1856"
"735",36.05677195,-73.9947386,40.76573287,"908"
"6863",292.8362806,-73.99452483,40.76583622,"8220"
"741",35.79375176,-73.99200237,40.76948666,"914"
"3284",292.8801521,-73.99178639,40.76959453,"3754"
